344,173,1
390,193,2
450,213,3
480,227,4
492,232,5
536,249,6
588,268,7
638,289,8
687,312,9
660,362,10
688,371,11
638,411,12
582,391,13
609,346,14
504,408,15
572,412,16
498,381,17
516,314,18
472,304,19
452,374,20
438,410,21
402,361,22
386,410,23
424,294,24
358,283,25
339,345,26
320,409,27
296,403,28
272,327,29
294,318,30
270,246,31
314,264,32
198,271,33
184,210,34
216,337,35
234,333,36
239,401,37
240,410,38
170,396,39
126,387,40
118,358,41
106,358,42
32,374,43
2,381,44
40,404,45
84,395,46
106,307,47
74,318,48
26,270,49
104,242,50
70,253,51
52,200,52
3,200,53
81,197,54
16,272,55
-2,249,56
-1,276,57
-2,132,58
74,166,59
58,116,60
149,94,61
120,7,62
249,61,63
226,2,64
269,95,65
278,92,66
289,81,67
292,93,68
299,105,69
358,127,70
308,33,71
303,-1,72
368,7,73
394,-1,74
420,92,75
469,70,76
431,-1,77
568,58,78
554,0,79
645,51,80
642,11,81
623,52,82
623,16,83
685,48,84
684,18,85
670,-1,86
688,97,87
676,186,88
569,147,89
612,109,90
578,114,91
522,116,92
426,157,93
512,192,94
550,205,95
608,229,96
660,246,97
681,196,98
689,259,99
63,366,100
47,350,101
-2,355,102
162,350,103
684,149,104
303,156,105
