1,105
1,2
1,32
2,1
2,93
2,3
2,25
3,2
3,4
3,24
4,3
4,94
4,5
5,4
5,19
5,6
6,5
6,95
6,7
6,18
7,6
7,96
7,8
8,7
8,97
8,14
8,9
9,8
9,10
10,9
10,11
10,14
10,12
11,10
12,10
12,13
13,12
13,16
13,14
14,10
14,13
14,8
15,13
15,17
16,13
17,15
17,18
18,17
18,6
18,19
19,18
19,5
19,24
19,20
20,19
20,22
20,21
21,20
22,20
22,24
22,26
22,23
23,22
24,3
24,19
24,22
24,25
25,24
25,2
25,32
25,30
25,26
26,25
26,22
26,27
27,26
27,28
28,27
28,29
28,38
29,30
29,36
29,28
30,29
30,31
30,25
31,105
31,32
31,34
31,30
32,31
32,1
32,25
33,34
33,47
33,35
34,59
34,61
34,105
34,31
34,33
34,50
35,36
35,33
35,103
36,35
36,29
36,37
37,36
37,38
37,39
38,37
38,28
39,37
39,40
39,103
40,41
40,39
41,103
41,40
41,42
42,47
42,48
42,41
42,100
43,44
43,100
43,45
44,43
45,43
45,46
46,45
47,50
47,33
47,48
47,42
47,48
48,49
48,47
48,42
49,51
49,55
49,48
50,34
50,54
50,51
50,47
51,50
51,52
51,49
52,53
52,51
52,54
53,52
54,59
54,52
54,50
55,49
55,56
55,57
56,55
57,55
58,60
58,59
59,60
59,34
59,54
59,58
60,61
60,59
60,58
61,62
61,63
61,60
61,34
62,61
63,64
63,71
63,61
63,65
64,63
65,63
65,105
65,66
66,65
66,67
66,68
68,66
68,69
69,68
70,105
70,93
70,71
70,75
71,72
71,70
71,63
71,73
72,71
73,71
73,74
74,73
75,70
75,76
76,75
76,77
76,78
77,76
78,76
78,79
78,82
78,91
79,78
80,82
80,81
80,84
81,80
82,78
82,83
82,80
83,82
84,80
84,85
84,87
85,84
85,86
86,85
87,84
87,90
87,104
88,104
88,98
88,89
89,88
89,91
89,95
90,91
90,87
91,90
91,78
91,92
91,89
92,91
92,93
93,92
93,70
93,94
93,2
94,93
94,4
94,95
95,89
95,94
95,6
95,96
96,95
96,97
96,7
97,96
97,98
97,99
97,8
98,88
98,97
99,97
100,42
100,43
100,101
101,100
101,102
102,101
103,41
103,35
103,39
104,87
104,88
105,65
105,70
105,1
105,34
105,31
